,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,286,Dcover Jcover-fuzz,time(Seconds):,1881,Jcover test verification on,time(Seconds):,304
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaNodeVisitor.SimpleNodeVisitor,n/a,n/a,Could not find file,1,2,0.6666666666666666,1,2,0.6666666666666666,3,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaNodeVisitor.WeightedNodeVisitor,n/a,n/a,Could not find file,7,2,0.2222222222222222,7,2,0.2222222222222222,9,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SingleSalsaIteration,,,,2,2,0.5,2,2,0.5,2,2,0.5
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaRequest,,,,4,21,0.84,4,21,0.84,5,20,0.8
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaStats,,,,20,29,0.5918367346938775,20,29,0.5918367346938775,30,19,0.3877551020408163
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaNodeVisitor,,,,1,0,0.0,1,0,0.0,1,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaIterations,,,,61,0,0.0,61,0,0.0,61,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaNodeVisitor.NodeVisitor,n/a,n/a,Could not find file,9,3,0.25,9,3,0.25,12,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaNodeVisitor.WeightedNodeVisitorWithSocialProof,n/a,n/a,Could not find file,4,2,0.3333333333333333,4,2,0.3333333333333333,6,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaNodeVisitor.NodeVisitorWithSocialProof,n/a,n/a,Could not find file,4,2,0.3333333333333333,4,2,0.3333333333333333,6,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaResponse,,,,0,4,1.0,0,4,1.0,0,4,1.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaRequestBuilder,,,,4,39,0.9069767441860465,4,39,0.9069767441860465,0,43,1.0
GraphJet Core,com.twitter.graphjet.algorithms.salsa,CommonInternalState,,,,23,12,0.34285714285714286,23,12,0.34285714285714286,25,10,0.2857142857142857
GraphJet Core,com.twitter.graphjet.algorithms.salsa,SalsaSelectResults,,,,61,0,0.0,61,0,0.0,61,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms,ConnectingUsersWithMetadata,,,,17,0,0.0,17,0,0.0,6,11,0.6470588235294118
GraphJet Core,com.twitter.graphjet.algorithms,RecommendationResponse,,,,0,4,1.0,0,4,1.0,0,4,1.0
